trt,singlecode,taxon,code
11cb7_11cb7,11cb7,11c_B2,aaba
11cb6_11cb6,11cb6,11c_B6,aaax
11ct2_11ct2,11ct2,11c-T2,aabj
1ab7_1ab7,1ab7,1a_B7,aaao
52_52,52,52_AFAB,aaaa
35_35,35,aace,aabo
43_43,43,aci5,aabm
6_6,6,amac,aabf
45_45,45,aori,aaak
39_39,39,apa3,aaat
30_30,30,apan,aaam
34_34,34,apnb,aaaj
4_4,4,apoc,aabe
5_5,5,atrc,aabi
28_28,28,atrn,aaas
13_13,13,bsub,aabk
15_15,15,ecok,aaan
56_56,56,galb,aaaq
29_29,29,gfra,aabd
31_31,31,gxyl,aaap
71_71,71,lbga,aabc
1_1,1,lbrc,aaad
73_73,73,lbuc,aabq
69_69,69,lfal,aaav
3_3,3,lfrc,aabl
70_70,70,lfrk,aaae
66_66,66,lmli,aaah
75_75,75,lplw,aaab
103_103,103,NEN103,aabs
137_137,137,NEN137,aabb
181_181,181,NEN181,aaal
196_196,196,NEN196,aaag
98_98,98,NEN98,aabn
16_16,16,pput,aabg
