"","trt","pref","day","time","dieta","dietb"
"1","196_196",0.393258426966292,6,1,35,54
"2","196_196",0.40080971659919,6,7,99,148
"4","196_196",0.175257731958763,5,7,17,80
"6","196_196",0.0991150442477876,5,4,56,509
"8","196_196",0.837988826815642,6,7,150,29
"9","196_196",0.588709677419355,5,7,73,51
"10","196_196",0.363636363636364,5,1,24,42
"11","196_196",0.858757062146893,5,4,152,25
"12","196_196",0.661417322834646,6,1,84,43
"13","196_196",0.708860759493671,6,4,56,23
"15","11cb7_11cb7",0.86,6,1,43,7
"21","11cb7_11cb7",0.835714285714286,5,7,234,46
"3","11cb7_11cb7",0.743034055727554,2,7,240,83
"41","11cb7_11cb7",0.208333333333333,5,4,15,57
"5","11cb7_11cb7",0.173913043478261,6,7,28,133
"7","11cb7_11cb7",0.444444444444444,1,7,8,10
"81","11cb7_11cb7",0.5625,2,1,18,14
"91","11cb7_11cb7",1,2,1,2,0
"101","11cb7_11cb7",0.661538461538462,5,7,43,22
"111","11cb7_11cb7",0.079646017699115,2,4,9,104
"121","11cb7_11cb7",0.533333333333333,2,4,8,7
"131","11cb7_11cb7",0.462686567164179,2,7,31,36
"14","11cb7_11cb7",0.227941176470588,6,4,31,105
"18","45_45",0.659090909090909,2,7,29,15
"22","45_45",0.684210526315789,4,4,39,18
"31","45_45",0.0701754385964912,1,7,8,106
"42","45_45",0.258426966292135,4,1,23,66
"51","45_45",0.837431693989071,2,1,613,119
"61","45_45",0.190031152647975,4,7,61,260
"71","45_45",0.126436781609195,6,1,11,76
"82","45_45",0.666666666666667,4,7,74,37
"92","45_45",0.59,1,7,118,82
"102","45_45",1,6,7,24,0
"112","45_45",0.67,3,7,67,33
"122","45_45",0.0496894409937888,3,1,8,153
"132","45_45",0.75,3,4,168,56
"141","45_45",0.350649350649351,2,4,27,50
"151","45_45",0.658536585365854,3,7,54,28
"16","45_45",0.877450980392157,6,7,537,75
"17","45_45",0.483253588516746,6,1,101,108
"23","70_70",1,5,1,5,0
"32","70_70",0.505747126436782,2,7,44,43
"43","70_70",0.45,6,4,18,22
"52","70_70",0.173333333333333,3,7,26,124
"62","70_70",0.0925925925925926,5,4,5,49
"72","70_70",0.931818181818182,5,7,41,3
"83","70_70",0.814814814814815,6,7,154,35
"93","70_70",0.189873417721519,2,1,15,64
"103","70_70",0.166666666666667,3,1,6,30
"113","70_70",0.984126984126984,5,4,124,2
"123","70_70",0.661016949152542,2,4,39,20
"133","70_70",0.430939226519337,1,7,78,103
